sex,chest(inch,waist,hip,height,shoes,recommend_mil_top,recommend_mil_pants,recommend_mil_jacket,recommend_inner,recommend_T-shirts,recommend_underpants,recommend_shoes
men,40,34,41,173,275,100-M-173,85-173,100-173,100,100,100,275
men,42,35,40,178,275,105-M-178,90-178,105-178,105,105,100,275
men,36,28,35,170,250,90-M-168,70-173,90-168,90,90,90,250
men,37,30,38,182,275,95-M-178,75-178,95-178,95,95,95,275
men,38,31,40,170,260,95-M-168,80-168,95-168,95,95,100,260
men,43,37,42,178,275,110-M-178,95-178,115-173,110,110,105,275
men,38,32,38,187,280,95-M-185,80-185,95-187,95,95,95,280
men,36,28,36,174,275,90-M-173,70-173,90-173,90,90,90,275
men,41,32,40,183,270,105-M-178,80-178,105-178,105,105,100,270
men,37,31,40,189,280,95-M-185,80-185,95-187,95,95,100,280
men,37,30,37,168,265,95-M-168,75-168,95-168,95,95,90,265
men,39,32,39,170,270,100-M-168,80-168,100-168,100,100,95,270
men,46,40,45,178,275,115-M-178,100-178,115-173,115,115,110,275
men,35,30,37,175,265,90-M-173,75-173,90-173,90,90,90,265
men,40,31,38,173,280,100-M-173,80-173,100-173,100,100,95,280
men,40,34,40,168,270,100-M-168,85-168,100-168,100,100,100,270
men,39,32,38,180,275,100-M-178,80-178,100-178,100,100,95,275
men,39,32,40,171,280,100-M-173,80-173,100-173,100,100,100,280
men,42,31,39,173,260,105-M-173,80-173,105-173,105,105,95,260
men,39,33,40,185,285,100-M-185,85-185,100-178,100,100,100,285
men,40,32,41,168,265,100-M-168,80-168,100-168,100,100,100,265
men,40,32,38,175,260,100-M-173,80-173,100-173,100,100,95,260
men,44,33,40,176,275,110-M-173,85-173,115-173,110,110,100,275
men,40,32,40,180,265,100-M-178,80-178,100-178,100,100,100,265
men,39,33,39,192,285,100-M-185,85-185,105-187,100,100,95,285
men,38,32,39,170,270,95-M-168,80-168,95-168,95,95,95,270
men,41,32,39,167,260,105-M-168,80-168,105-173,105,105,95,260
men,39,34,41,181,280,100-M-178,85-178,100-178,100,100,100,280
men,36,31,37,174,270,90-M-173,80-173,90-173,90,90,90,270
men,45,37,43,171,270,115-M-178,95-173,115-173,115,115,105,270
men,41,34,41,178,285,105-M-178,85-178,105-178,105,105,100,285
men,38,33,39,171,265,95-M-173,85-173,95-173,95,95,95,265
men,36,28,37,173,260,90-M-173,70-173,90-173,90,90,90,260
men,39,31,37,172,260,100-M-173,80-173,100-173,100,100,90,260
men,41,33,39,175,280,105-M-173,85-173,105-173,105,105,95,280
men,36,29,37,176,260,90-M-173,75-173,95-173,90,90,90,260
men,42,35,42,167,280,105-M-168,90-168,105-173,105,105,105,280
men,44,38,44,176,275,110-M-173,95-173,115-173,110,110,110,275
men,39,29,36,169,260,100-M-168,75-168,100-168,100,100,90,260
men,41,33,39,179,270,105-M-178,85-178,105-178,105,105,95,270
men,40,35,40,178,275,100-M-178,90-178,100-178,100,100,100,275
men,44,40,47,186,275,110-M-185,100-185,115-185,110,110,115,275
men,43,35,42,168,260,110-M-173,90-168,115-173,110,110,105,260
men,40,34,40,172,270,100-M-173,85-173,100-173,100,100,100,270
men,35,29,36,165,260,90-M-168,75-168,90-168,90,90,90,260
men,40,34,40,175,280,100-M-173,85-173,100-173,100,100,100,280
men,41,37,43,175,260,105-M-173,95-173,105-173,105,105,105,260
men,44,34,41,175,265,110-M-173,85-173,115-173,110,110,100,265
men,37,29,37,174,260,95-M-173,75-173,95-173,95,95,90,260
men,36,30,36,163,250,90-M-168,75-168,90-168,90,90,90,250
men,42,33,41,179,280,105-M-178,85-178,105-178,105,105,100,280
men,40,34,40,178,280,100-M-178,85-178,100-178,100,100,100,280
men,35,28,37,173,265,90-M-173,70-173,90-173,90,90,90,265
men,42,38,44,178,275,105-M-178,95-178,105-178,105,105,110,275
men,43,38,44,177,280,110-M-173,95-173,115-173,110,110,110,280
men,36,30,38,177,270,90-M-173,75-173,95-173,90,90,95,270
men,38,29,36,171,255,95-M-173,75-173,95-173,95,95,90,255
men,42,39,43,178,285,105-M-178,100-178,105-178,105,105,105,285
men,38,33,40,168,270,95-M-168,85-168,95-168,95,95,100,270
men,42,37,44,177,270,105-M-173,95-173,105-173,105,105,110,270
men,37,32,37,177,255,95-M-173,80-173,95-173,95,95,90,255
men,36,31,38,167,265,90-M-168,80-168,90-168,90,90,95,265
men,37,32,41,176,270,95-M-173,80-173,95-173,95,95,100,270
men,45,35,43,183,290,115-M-178,90-178,115-185,115,115,105,290
men,40,33,40,169,265,100-M-168,85-168,100-168,100,100,100,265
men,38,31,37,172,265,95-M-173,80-173,95-173,95,95,90,265
men,47,39,44,178,280,120-M-178,100-178,115-173,120,120,110,280
men,42,32,39,178,280,105-M-178,80-178,105-178,105,105,95,280
